locale,group,key,value,unicodeCodePoints,utf8Bytes,basis
"fr-FR","featureBlanks","108","Correction d'exposition −1/3 de valeur","38","40","canon-adapted"
"fr-FR","featureBlanks","110","Correction d'exposition +1/3 de valeur","38","38","canon-adapted"
"pl-PL","names","Manual Focus Assist","Wspomaganie ręcznej regulacji ostrości","38","40","review-required"
"ro-RO","featureBlanks","113","Corectarea balansului de alb: albastru","38","38","canon-adapted"
"ro-RO","featureBlanks","114","Corectarea balansului de alb: resetare","38","38","canon-adapted"
"cs-CZ","names","One-Shot AF","Jednosnímkové automatické zaostřování","37","43","canon-exact"
"de-DE","names","Teleport Next","Zur nächsten Markierung teleportieren","37","38","dictionary-candidate"
"el-GR","names","Clear All (Hold)","Εκκαθάριση όλων (παρατεταμένο πάτημα)","37","69","review-required"
"el-GR","featureBlanks","114","Διόρθωση ισορροπίας λευκού: επαναφορά","37","70","canon-adapted"
"it-IT","names","Teleport Next","Teletrasporta al marcatore successivo","37","37","dictionary-candidate"
"nl-NL","names","Avatar AF","Automatische scherpstelling op avatar","37","37","dictionary-candidate"
"nl-NL","names","AF-ON","Automatische scherpstelling activeren","37","37","dictionary-candidate"
"pl-PL","names","Preset Saver","Zapisywanie ustawień predefiniowanych","37","38","review-required"
"pt-PT","featureBlanks","114","Correção do balanço de brancos: repor","37","40","canon-adapted"
"pt-PT","featureBlanks","115","Correção do balanço de brancos: âmbar","37","41","canon-adapted"
"tr-TR","names","Camera Pins & Dolly","Kamera işaretleri ve kaydırmalı çekim","37","41","dictionary-candidate"
"bg-BG","names","Preset Saver","Запазване на предварителни настройки","36","69","dictionary-candidate"
"bg-BG","featureBlanks","113","Корекция на баланса на бялото: синьо","36","66","canon-adapted"
"de-DE","featureBlanks","114","Weißabgleich-Korrektur: zurücksetzen","36","38","canon-adapted"
"el-GR","names","Camera Pins & Dolly","Σημεία κάμερας και κίνηση τράβελινγκ","36","68","dictionary-candidate"
"fr-FR","names","Manual Focus Assist","Assistance de mise au point manuelle","36","36","dictionary-candidate"
"it-IT","names","Avatar AF","Messa a fuoco automatica sull'avatar","36","36","dictionary-candidate"
"nb-NO","featureBlanks","114","Hvitbalansekorrigering: tilbakestill","36","36","review-required"
"nl-NL","names","Teleport Next","Naar volgende markering teleporteren","36","36","dictionary-candidate"
"pt-PT","featureBlanks","113","Correção do balanço de brancos: azul","36","39","canon-adapted"
"th-TH","names","3:2 DSLR","3:2 กล้องดิจิทัลสะท้อนภาพเลนส์เดี่ยว","36","100","review-required"
"uk-UA","names","Manual Focus Assist","Допомога під час ручного фокусування","36","68","dictionary-candidate"
"uk-UA","featureBlanks","115","Корекція балансу білого: бурштиновий","36","68","canon-adapted"
"es-419","names","Preset Saver","Guardado de ajustes preestablecidos","35","35","review-required"
"es-ES","names","Preset Saver","Guardado de ajustes preestablecidos","35","35","review-required"
"fr-FR","names","Transverse CA","Aberration chromatique transversale","35","35","dictionary-candidate"
"nb-NO","featureBlanks","108","Eksponeringskompensasjon −1/3 trinn","35","37","review-required"
"nb-NO","featureBlanks","110","Eksponeringskompensasjon +1/3 trinn","35","35","review-required"
"nl-NL","names","Transverse CA","Transversale chromatische aberratie","35","35","dictionary-candidate"
"nn-NO","featureBlanks","108","Eksponeringskompensasjon −1/3 trinn","35","37","review-required"
"nn-NO","featureBlanks","110","Eksponeringskompensasjon +1/3 trinn","35","35","review-required"
"pt-PT","featureBlanks","108","Compensação da exposição −1/3 ponto","35","41","canon-adapted"
"pt-PT","featureBlanks","110","Compensação da exposição +1/3 ponto","35","39","canon-adapted"
"ru-RU","names","Camera Pins & Dolly","Метки камеры и операторская тележка","35","66","review-required"
"ru-RU","names","Teleport Next","Телепортироваться к следующей метке","35","67","dictionary-candidate"
"ru-RU","featureBlanks","108","Компенсация экспозиции −1/3 ступени","35","65","canon-adapted"
"ru-RU","featureBlanks","110","Компенсация экспозиции +1/3 ступени","35","63","canon-adapted"
"uk-UA","names","Camera Pins & Dolly","Мітки камери та операторський візок","35","66","review-required"
"da-DK","featureBlanks","108","Eksponeringskompensation −1/3 trin","34","36","canon-adapted"
"da-DK","featureBlanks","110","Eksponeringskompensation +1/3 trin","34","34","canon-adapted"
"de-DE","names","Camera Pins & Dolly","Kameramarkierungen und Kamerafahrt","34","34","dictionary-candidate"
"fi-FI","featureBlanks","115","Valkotasapainon korjaus: keltainen","34","34","canon-adapted"
"hu-HU","names","Transverse CA","Keresztirányú kromatikus aberráció","34","38","dictionary-candidate"
"hu-HU","names","Axial CA","Tengelyirányú kromatikus aberráció","34","38","dictionary-candidate"
"hu-HU","names","Teleport Next","Teleportálás a következő jelölőhöz","34","41","review-required"
"it-IT","names","Max Blur Size","Dimensione massima della sfocatura","34","34","dictionary-candidate"
"nn-NO","names","Focus Peaking","Konturframheving ved manuell fokus","34","34","review-required"
"nn-NO","names","Smooth DoF Edges","Jamn ut kantar for djupneskarpleik","34","34","education-composition"
"pl-PL","names","Teleport Next","Teleportuj do następnego znacznika","34","35","review-required"
"pl-PL","featureBlanks","115","Korekta balansu bieli: bursztynowy","34","34","canon-adapted"
"ro-RO","featureBlanks","108","Compensarea expunerii −1/3 treaptă","34","37","canon-adapted"
"ro-RO","featureBlanks","110","Compensarea expunerii +1/3 treaptă","34","35","canon-adapted"
"ru-RU","names","Transverse CA","Поперечная хроматическая аберрация","34","66","dictionary-candidate"
"ru-RU","names","Axial CA","Продольная хроматическая аберрация","34","66","dictionary-candidate"
"ru-RU","dynamic","ZoomOutSpeed4","Скорость в сторону широкого угла 4","34","62","dictionary-candidate"
"ru-RU","featureBlanks","100","Скорость в сторону широкого угла 1","34","62","dictionary-candidate"
"ru-RU","featureBlanks","101","Скорость в сторону широкого угла 2","34","62","dictionary-candidate"
"ru-RU","featureBlanks","102","Скорость в сторону широкого угла 3","34","62","dictionary-candidate"
"ru-RU","featureBlanks","115","Коррекция баланса белого: янтарный","34","64","canon-adapted"
"tr-TR","names","Smooth DoF Edges","Alan derinliği kenarlarını yumuşat","34","38","dictionary-candidate"
"uk-UA","names","Teleport Next","Телепортуватися до наступної мітки","34","65","review-required"
"bg-BG","names","Max Blur Size","Максимален размер на размазването","33","63","dictionary-candidate"
"cs-CZ","names","Pro Autofocus","Pokročilé automatické zaostřování","33","39","dictionary-candidate"
"el-GR","names","Track Pivot","Παρακολούθηση σημείου περιστροφής","33","64","dictionary-candidate"
"es-419","names","Camera Pins & Dolly","Marcadores de cámara y travelling","33","34","review-required"
"es-ES","names","Camera Pins & Dolly","Marcadores de cámara y travelling","33","34","review-required"
"fi-FI","names","Focus Peaking","Manuaalisen tarkennuksen korostus","33","33","canon-exact"
"fi-FI","names","Clear All (Hold)","Tyhjennä kaikki (pidä painettuna)","33","35","dictionary-candidate"
"hu-HU","names","Smooth DoF Edges","Mélységélesség széleinek simítása","33","40","review-required"
"it-IT","names","Pro Autofocus","Messa a fuoco automatica avanzata","33","33","dictionary-candidate"
"it-IT","names","Transverse CA","Aberrazione cromatica trasversale","33","33","dictionary-candidate"
"it-IT","names","Camera Pins & Dolly","Marcatori fotocamera e carrellata","33","33","dictionary-candidate"
"nn-NO","names","Preset Saver","Lagring av førehandsinnstillingar","33","34","review-required"
"nn-NO","featureBlanks","114","Kvitbalansekorrigering: nullstill","33","33","education-composition"
"pl-PL","names","Transverse CA","Poprzeczna aberracja chromatyczna","33","33","review-required"
"pt-PT","names","Camera Pins & Dolly","Marcadores de câmara e travelling","33","34","dictionary-candidate"
"ru-RU","names","Smooth DoF Edges","Сгладить границы глубины резкости","33","63","dictionary-candidate"
"sv-SE","featureBlanks","108","Exponeringskompensation −1/3 steg","33","35","canon-adapted"
"sv-SE","featureBlanks","110","Exponeringskompensation +1/3 steg","33","33","canon-adapted"
"th-TH","featureBlanks","115","ปรับแก้สมดุลแสงขาว: สีเหลืองอำพัน","33","95","canon-adapted"
"uk-UA","names","Focus Peaking","Виділення для ручного фокусування","33","63","canon-exact"
"uk-UA","names","Preset Saver","Збереження попередніх налаштувань","33","64","review-required"
"bg-BG","names","Pro Autofocus","Разширено автоматично фокусиране","32","62","dictionary-candidate"
"bg-BG","names","Clear All (Hold)","Изчистване на всичко (задържане)","32","59","review-required"
"bg-BG","names","Teleport Next","Телепортиране към следващ маркер","32","61","dictionary-candidate"
"cs-CZ","names","Servo AF","Průběžné automatické zaostřování","32","40","canon-exact"
"cs-CZ","names","Smooth DoF Edges","Vyhladit okraje hloubky ostrosti","32","32","dictionary-candidate"
"cs-CZ","featureBlanks","114","Korekce vyvážení bílé: resetovat","32","37","canon-adapted"
"cs-CZ","featureBlanks","115","Korekce vyvážení bílé: jantarová","32","38","canon-adapted"
"de-DE","names","Transverse CA","Laterale chromatische Aberration","32","32","dictionary-candidate"
"de-DE","names","3:2 DSLR","3:2 Digitale Spiegelreflexkamera","32","32","review-required"
"el-GR","featureBlanks","113","Διόρθωση ισορροπίας λευκού: μπλε","32","60","canon-adapted"
"es-419","names","Transverse CA","Aberración cromática transversal","32","34","review-required"
"es-419","featureBlanks","129","Apuntar ligeramente hacia arriba","32","32","review-required"
"es-ES","names","Transverse CA","Aberración cromática transversal","32","34","review-required"
"es-ES","featureBlanks","129","Apuntar ligeramente hacia arriba","32","32","review-required"
"fi-FI","featureBlanks","113","Valkotasapainon korjaus: sininen","32","32","canon-adapted"
"it-IT","names","Manual Focus Assist","Assistenza messa a fuoco manuale","32","32","dictionary-candidate"
"it-IT","featureBlanks","130","Punta leggermente verso il basso","32","32","dictionary-candidate"
"nb-NO","names","Transverse CA","Tverrgående kromatisk aberrasjon","32","33","dictionary-candidate"
"nb-NO","names","Preset Saver","Lagring av forhåndsinnstillinger","32","33","review-required"
"nl-NL","names","Manual Focus Assist","Hulp bij handmatig scherpstellen","32","32","dictionary-candidate"
"nl-NL","names","Camera Pins & Dolly","Cameramarkeringen en rijbeweging","32","32","review-required"
"nl-NL","featureBlanks","108","Belichtingscompensatie −1/3 stop","32","34","canon-adapted"
"nl-NL","featureBlanks","110","Belichtingscompensatie +1/3 stop","32","32","canon-adapted"
"nn-NO","names","Transverse CA","Tverrgåande kromatisk aberrasjon","32","33","review-required"
"nn-NO","names","3:2 DSLR","3:2 Digitalt spegelreflekskamera","32","32","review-required"
"pl-PL","names","Smooth DoF Edges","Wygładź krawędzie głębi ostrości","32","38","review-required"
"pl-PL","featureBlanks","113","Korekta balansu bieli: niebieski","32","32","canon-adapted"
"ro-RO","names","Manual Focus Assist","Asistență la focalizarea manuală","32","35","review-required"
"uk-UA","featureBlanks","114","Корекція балансу білого: скинути","32","60","canon-adapted"
"uk-UA","featureBlanks","121","До нескінченності: середній крок","32","60","canon-adapted"
"bg-BG","names","Move Drone Vertical","Вертикално преместване на дрона","31","59","review-required"
"cs-CZ","names","Avatar AF","Automatické zaostření na avatar","31","34","dictionary-candidate"
"cs-CZ","names","AF-ON","Spustit automatické zaostřování","31","35","dictionary-candidate"
"da-DK","names","Transverse CA","Tværgående kromatisk aberration","31","33","dictionary-candidate"
"da-DK","names","3:2 DSLR","3:2 Digitalt spejlreflekskamera","31","31","review-required"
"de-DE","featureBlanks","108","Belichtungskorrektur −1/3 Stufe","31","33","canon-adapted"
"de-DE","featureBlanks","110","Belichtungskorrektur +1/3 Stufe","31","31","canon-adapted"
"el-GR","names","AF-ON","Ενεργοποίηση αυτόματης εστίασης","31","60","review-required"
"el-GR","names","Teleport Next","Τηλεμεταφορά στο επόμενο σημείο","31","59","dictionary-candidate"
"es-419","featureBlanks","130","Apuntar ligeramente hacia abajo","31","31","review-required"
"es-ES","featureBlanks","130","Apuntar ligeramente hacia abajo","31","31","review-required"
"fi-FI","names","Smooth DoF Edges","Pehmennä syväterävyyden reunoja","31","34","review-required"
"fi-FI","names","Teleport Next","Teleporttaa seuraavaan merkkiin","31","31","review-required"
"fi-FI","featureBlanks","108","Valotuksen korjaus −1/3 askelta","31","33","canon-adapted"
"fi-FI","featureBlanks","110","Valotuksen korjaus +1/3 askelta","31","31","canon-adapted"
"fi-FI","featureBlanks","114","Valkotasapainon korjaus: nollaa","31","31","canon-adapted"
"fr-FR","names","Move Drone Vertical","Déplacer le drone verticalement","31","32","dictionary-candidate"
"fr-FR","names","Camera Pins & Dolly","Repères de caméra et travelling","31","33","dictionary-candidate"
"fr-FR","names","Teleport Next","Se téléporter au repère suivant","31","34","dictionary-candidate"
"hu-HU","featureBlanks","108","Expozíciókompenzáció −1/3 lépés","31","39","canon-adapted"
"hu-HU","featureBlanks","110","Expozíciókompenzáció +1/3 lépés","31","37","canon-adapted"
"it-IT","names","AF-ON","Attiva messa a fuoco automatica","31","31","dictionary-candidate"
"nb-NO","names","3:2 DSLR","3:2 Digitalt speilreflekskamera","31","31","review-required"
"nb-NO","names","Camera Pins & Dolly","Kameramarkører og kamerakjøring","31","33","dictionary-composition"
"nl-NL","names","Smooth DoF Edges","Scherptediepteranden verzachten","31","31","dictionary-candidate"
"nl-NL","names","Hand Rotate (Pins)","Markeringen met de hand draaien","31","31","dictionary-candidate"
"nl-NL","names","Clear All (Hold)","Alles wissen (ingedrukt houden)","31","31","review-required"
"nn-NO","names","Camera Pins & Dolly","Kameramarkørar og kamerakøyring","31","33","dictionary-composition"
"pl-PL","names","Axial CA","Podłużna aberracja chromatyczna","31","33","review-required"
"pl-PL","names","Camera Pins & Dolly","Znaczniki kamery i jazda kamery","31","31","review-required"
"pl-PL","featureBlanks","108","Korekta ekspozycji −1/3 stopnia","31","33","canon-adapted"
"pl-PL","featureBlanks","110","Korekta ekspozycji +1/3 stopnia","31","31","canon-adapted"
"pt-PT","names","Transverse CA","Aberração cromática transversal","31","34","dictionary-candidate"
"pt-PT","featureBlanks","130","Apontar ligeiramente para baixo","31","31","dictionary-candidate"
"ro-RO","names","Transverse CA","Aberație cromatică transversală","31","34","dictionary-candidate"
"ro-RO","names","Camera Pins & Dolly","Marcaje de cameră și travelling","31","33","dictionary-candidate"
"ro-RO","names","Clear All (Hold)","Ștergere totală (țineți apăsat)","31","36","review-required"
"ro-RO","names","Teleport Next","Teleportare la marcajul următor","31","32","dictionary-candidate"
"ru-RU","names","Load Defaults","Загрузить значения по умолчанию","31","59","dictionary-candidate"
"ru-RU","featureBlanks","113","Коррекция баланса белого: синий","31","58","canon-adapted"
"ru-RU","featureBlanks","114","Коррекция баланса белого: сброс","31","58","canon-adapted"
"sv-SE","names","Transverse CA","Tvärgående kromatisk aberration","31","33","dictionary-candidate"
"sv-SE","names","Camera Pins & Dolly","Kameramarkörer och kameraåkning","31","33","review-required"
"sv-SE","featureBlanks","114","Vitbalanskorrigering: återställ","31","33","canon-adapted"
"uk-UA","dynamic","ZoomOutSpeed4","Швидкість у бік широкого кута 4","31","56","review-required"
"uk-UA","featureBlanks","100","Швидкість у бік широкого кута 1","31","56","review-required"
"uk-UA","featureBlanks","101","Швидкість у бік широкого кута 2","31","56","review-required"
"uk-UA","featureBlanks","102","Швидкість у бік широкого кута 3","31","56","review-required"
"bg-BG","names","3:2 DSLR","3:2 Цифров огледално-рефлексен","30","54","review-required"
"cs-CZ","names","Camera Pins & Dolly","Značky kamery a kamerová jízda","30","33","dictionary-candidate"
"cs-CZ","featureBlanks","108","Kompenzace expozice −1/3 kroku","30","32","canon-adapted"
"cs-CZ","featureBlanks","110","Kompenzace expozice +1/3 kroku","30","30","canon-adapted"
"da-DK","names","Camera Pins & Dolly","Kameramarkører og kamerakørsel","30","32","review-required"
"da-DK","featureBlanks","114","Hvidbalancekorrektion: nulstil","30","30","canon-adapted"
"de-DE","names","Axial CA","Axiale chromatische Aberration","30","30","dictionary-candidate"
"de-DE","names","Clear All (Hold)","Alle löschen (gedrückt halten)","30","32","dictionary-candidate"
"el-GR","names","Move Pivot","Μετακίνηση σημείου περιστροφής","30","58","review-required"
"el-GR","names","Drop Pivot","Τοποθέτηση σημείου περιστροφής","30","58","review-required"
"el-GR","names","Smooth DoF Edges","Εξομάλυνση ορίων βάθους πεδίου","30","57","review-required"
"es-419","names","Clear All (Hold)","Borrar todo (mantener pulsado)","30","30","review-required"
"es-419","names","Load Defaults","Cargar valores predeterminados","30","30","review-required"
"es-ES","names","Clear All (Hold)","Borrar todo (mantener pulsado)","30","30","review-required"
"es-ES","names","Load Defaults","Cargar valores predeterminados","30","30","review-required"
"fr-FR","names","Hand Rotate (Pins)","Rotation à la main des repères","30","32","dictionary-candidate"
"fr-FR","names","Preset Saver","Enregistrement des préréglages","30","32","review-required"
"fr-FR","names","Load Defaults","Charger les valeurs par défaut","30","31","dictionary-candidate"
"hu-HU","names","Clear All (Hold)","Összes törlése (nyomva tartás)","30","34","review-required"
"it-IT","names","EV Dial","Compensazione dell'esposizione","30","30","canon-exact"
"it-IT","names","Drop Next","Posiziona marcatore successivo","30","30","dictionary-candidate"
"it-IT","names","Clear All (Hold)","Cancella tutto (tieni premuto)","30","30","review-required"
"it-IT","featureBlanks","129","Punta leggermente verso l'alto","30","30","dictionary-candidate"
"nb-NO","featureBlanks","115","Hvitbalansekorrigering: ravgul","30","30","review-required"
"nn-NO","featureBlanks","115","Kvitbalansekorrigering: ravgul","30","30","education-composition"
"pl-PL","names","Far Clip Plane","Daleka płaszczyzna przycinania","30","31","review-required"
"pl-PL","names","Clear All (Hold)","Wyczyść wszystko (przytrzymaj)","30","32","review-required"
"pl-PL","featureBlanks","114","Korekta balansu bieli: resetuj","30","30","canon-adapted"
"pt-PT","dynamic","ZoomOutSpeed4","Velocidade de grande angular 4","30","30","dictionary-candidate"
"pt-PT","featureBlanks","100","Velocidade de grande angular 1","30","30","dictionary-candidate"
"pt-PT","featureBlanks","101","Velocidade de grande angular 2","30","30","dictionary-candidate"
"pt-PT","featureBlanks","102","Velocidade de grande angular 3","30","30","dictionary-candidate"
"pt-PT","featureBlanks","129","Apontar ligeiramente para cima","30","30","dictionary-candidate"
"ro-RO","names","Max Blur Size","Dimensiune maximă a estompării","30","32","dictionary-candidate"
"ru-RU","names","3:2 DSLR","3:2 Цифровая зеркальная камера","30","54","review-required"
"tr-TR","names","3:2 DSLR","3:2 Dijital tek lensli refleks","30","30","review-required"
"tr-TR","featureBlanks","115","Beyaz Ayarı Düzeltme: kehribar","30","32","canon-adapted"
"uk-UA","names","Smooth DoF Edges","Згладити межі глибини різкості","30","57","review-required"
"uk-UA","featureBlanks","108","Корекція експозиції −1/3 кроку","30","55","canon-adapted"
"uk-UA","featureBlanks","110","Корекція експозиції +1/3 кроку","30","53","canon-adapted"
"uk-UA","featureBlanks","113","Корекція балансу білого: синій","30","56","canon-adapted"
"bg-BG","names","Move Pivot","Преместване на опорната точка","29","55","review-required"
"cs-CZ","names","Max Blur Size","Maximální velikost rozostření","29","33","dictionary-candidate"
"da-DK","featureBlanks","115","Hvidbalancekorrektion: ravgul","29","29","canon-adapted"
"el-GR","names","3:2 DSLR","3:2 Ψηφιακή μονοοπτική ρεφλέξ","29","52","review-required"
"el-GR","names","Manual Focus Assist","Βοήθεια χειροκίνητης εστίασης","29","56","review-required"
"el-GR","names","Hand Rotate (Pins)","Περιστροφή σημείων με το χέρι","29","54","dictionary-candidate"
"es-419","names","EV Dial","Compensación de la exposición","29","31","canon-adapted"
"es-419","names","Avatar AF","Enfoque automático del avatar","29","30","review-required"
"es-419","names","AF-ON","Activar el enfoque automático","29","30","review-required"
"es-419","names","Drop Next","Colocar el siguiente marcador","29","29","review-required"
"es-ES","names","EV Dial","Compensación de la exposición","29","31","canon-adapted"
"es-ES","names","Avatar AF","Enfoque automático del avatar","29","30","review-required"
"es-ES","names","AF-ON","Activar el enfoque automático","29","30","review-required"
"es-ES","names","Drop Next","Colocar el siguiente marcador","29","29","review-required"
"fi-FI","names","Pro Autofocus","Edistynyt automaattitarkennus","29","29","dictionary-candidate"
"fi-FI","names","AF-ON","Käynnistä automaattitarkennus","29","31","review-required"
"fi-FI","names","Move Drone Vertical","Siirrä droonia pystysuunnassa","29","30","review-required"
"fr-FR","names","Axial CA","Aberration chromatique axiale","29","29","dictionary-candidate"
"fr-FR","featureBlanks","129","Viser légèrement vers le haut","29","31","dictionary-candidate"
"hu-HU","names","Max Blur Size","Legnagyobb életlenítési méret","29","33","dictionary-candidate"
"hu-HU","featureBlanks","113","Fehéregyensúly-korrekció: kék","29","33","canon-adapted"
"it-IT","names","Axial CA","Aberrazione cromatica assiale","29","29","dictionary-candidate"
"nl-NL","names","Axial CA","Axiale chromatische aberratie","29","29","dictionary-candidate"
"pl-PL","featureBlanks","117","Ku bliskiemu planowi: średnio","29","30","canon-adapted"
"pt-PT","names","Load Defaults","Carregar valores predefinidos","29","29","dictionary-candidate"
"ro-RO","names","Avatar AF","Focalizare automată pe avatar","29","30","dictionary-candidate"
"ru-RU","names","Manual Focus Assist","Помощь при ручной фокусировке","29","55","dictionary-candidate"
"ru-RU","names","Move Drone Vertical","Переместить дрон по вертикали","29","55","dictionary-candidate"
"ru-RU","dynamic","ZoomInSpeed4","Скорость в сторону телефото 4","29","53","dictionary-candidate"
"ru-RU","featureBlanks","104","Скорость в сторону телефото 1","29","53","dictionary-candidate"
"ru-RU","featureBlanks","105","Скорость в сторону телефото 2","29","53","dictionary-candidate"
"ru-RU","featureBlanks","106","Скорость в сторону телефото 3","29","53","dictionary-candidate"
"ru-RU","featureBlanks","117","К ближнему плану: средний шаг","29","53","canon-adapted"
"sv-SE","names","Teleport Next","Teleportera till nästa markör","29","31","dictionary-candidate"
"th-TH","featureBlanks","113","ปรับแก้สมดุลแสงขาว: สีน้ำเงิน","29","83","canon-adapted"
"tr-TR","featureBlanks","114","Beyaz Ayarı Düzeltme: sıfırla","29","33","canon-adapted"
"uk-UA","names","Transverse CA","Поперечна хроматична аберація","29","56","dictionary-candidate"
"uk-UA","names","Axial CA","Поздовжня хроматична аберація","29","56","dictionary-candidate"
"uk-UA","names","3:2 DSLR","3:2 Цифрова дзеркальна камера","29","52","review-required"
"uk-UA","featureBlanks","120","До нескінченності: малий крок","29","54","canon-adapted"
"bg-BG","names","Far Clip Plane","Далечна равнина на отрязване","28","53","review-required"
"bg-BG","names","Transverse CA","Напречна хроматична аберация","28","54","review-required"
"bg-BG","names","Axial CA","Надлъжна хроматична аберация","28","54","review-required"
"bg-BG","names","Aspect Ratio","Съотношение на изображението","28","54","canon-adapted"
"cs-CZ","names","Manual Focus Assist","Pomoc při ručním zaostřování","28","34","review-required"
"cs-CZ","featureBlanks","113","Korekce vyvážení bílé: modrá","28","34","canon-adapted"
"de-DE","names","Smooth DoF Edges","Schärfentiefenkanten glätten","28","30","dictionary-candidate"
"de-DE","names","Hand Rotate (Pins)","Markierungen von Hand drehen","28","28","dictionary-candidate"
"de-DE","dynamic","ZoomOutSpeed4","Weitwinkel-Geschwindigkeit 4","28","28","dictionary-candidate"
"de-DE","featureBlanks","100","Weitwinkel-Geschwindigkeit 1","28","28","dictionary-candidate"
"de-DE","featureBlanks","101","Weitwinkel-Geschwindigkeit 2","28","28","dictionary-candidate"
"de-DE","featureBlanks","102","Weitwinkel-Geschwindigkeit 3","28","28","dictionary-candidate"
"de-DE","featureBlanks","113","Weißabgleich-Korrektur: Blau","28","29","canon-adapted"
"de-DE","featureBlanks","115","Weißabgleich-Korrektur: Gelb","28","29","canon-adapted"
"el-GR","names","Load Defaults","Φόρτωση προεπιλεγμένων τιμών","28","54","dictionary-candidate"
"es-419","names","Tilt-Shift","Inclinación y desplazamiento","28","29","review-required"
"es-419","names","Player Visibility","Visibilidad de los jugadores","28","28","review-required"
"es-419","names","Hand Rotate (Pins)","Girar marcadores con la mano","28","28","review-required"
"es-ES","names","Tilt-Shift","Inclinación y desplazamiento","28","29","review-required"
"es-ES","names","Player Visibility","Visibilidad de los jugadores","28","28","review-required"
"es-ES","names","Hand Rotate (Pins)","Girar marcadores con la mano","28","28","review-required"
"fi-FI","names","Avatar AF","Avatarin automaattitarkennus","28","28","review-required"
"fi-FI","names","Manual Focus Assist","Manuaalitarkennuksen avustus","28","28","review-required"
"fr-FR","names","AF Lock","Verrouiller la mise au point","28","28","dictionary-candidate"
