locale,group,key,value,basis,source,section,sourceTerm,note
"ja-JP","names","Move Pivot","ピボット移動","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Track Pivot","ピボット追尾","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Smoothing","追尾スムージング","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Drop Pivot","ピボット設置","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Vertical Lock","上下固定","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","EV Dial","露出補正","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0500.html","UG-03_Shooting-1_0500.html / EV Dial","露出補正","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Auto Exposure","自動露出","canon-adapted","https://cam.start.canon/ja/C017/manual/html/UG-02_ShootingMode_0070.html","UG-02_ShootingMode_0070.html / Auto Exposure","","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","White Bal.","ホワイトバランス","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0190.html","UG-03_Shooting-1_0190.html / White Bal.","ホワイトバランス","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Avatar AF","アバターAF","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Move Focus","ピント位置","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0070.html","UG-04_AF-Drive_0070.html / Move Focus","ピント位置","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Pro Autofocus","高性能AF","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Operation","動作モード","canon-adapted","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0040.html","UG-04_AF-Drive_0040.html / Operation","","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","AF Area","AFエリア","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0060.html","UG-04_AF-Drive_0060.html / AF Area","AFエリア","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Response","被写体追従特性","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0090.html","UG-04_AF-Drive_0090.html / Response","被写体追従特性","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。 修正: 被写体切替 → 被写体追従特性。"
"ja-JP","names","Drive Speed","フォーカス速度","canon-adapted","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0100.html","UG-04_AF-Drive_0100.html / Drive Speed","","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","AF-ON","AF作動","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","AF Lock","AFロック","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Focus Guide","フォーカスガイド","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0070.html","UG-04_AF-Drive_0070.html / Focus Guide","フォーカスガイド","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","One-Shot AF","ワンショットAF","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0040.html","UG-04_AF-Drive_0040.html / One-Shot AF","ワンショットAF","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Servo AF","サーボAF","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0040.html","UG-04_AF-Drive_0040.html / Servo AF","サーボAF","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Spot","スポット","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0060.html","UG-04_AF-Drive_0060.html / Spot","スポット","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Zone","ゾーン","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0060.html","UG-04_AF-Drive_0060.html / Zone","ゾーン","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Avatar Priority","アバター優先","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Locked-on","粘る","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0090.html","UG-04_AF-Drive_0090.html / Locked-on","粘る","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Standard","標準","canon-adapted","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0110.html","UG-03_Shooting-1_0110.html / Standard","","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Responsive","俊敏","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0090.html","UG-04_AF-Drive_0090.html / Responsive","俊敏","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。 修正: 敏感 → 俊敏。"
"ja-JP","names","Custom","追加機能","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Far Clip Plane","遠クリップ距離","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Far Clip Plane / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Smooth DoF Edges","被写界深度境界補正","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Smooth DoF Edges / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Softness","柔らかさ","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Softness / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Smooth Rotate","回転スムージング","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Smooth Rotate / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Anamorphic Bokeh","アナモルフィックボケ","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Anamorphic Bokeh / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Chromatic Aberration","色収差","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0220.html","UG-03_Shooting-1_0220.html / Chromatic Aberration","色収差","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Enabled","有効","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Enabled / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Transverse CA","倍率色収差","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Transverse CA / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Axial CA","軸上色収差","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Axial CA / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Axial Focus-Aware","ピント連動","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Axial Focus-Aware / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Magenta-Green","マゼンタ／グリーン","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Magenta-Green / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Color Grading","カラーグレーディング","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Color Grading / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Saturation","彩度","adobe-exact","https://helpx.adobe.com/jp/photoshop/using/filter-effects-reference.html","Saturation","彩度","対象地域のAdobe画像編集資料の同じ色調・効果用語を照合。Canon表記とは区別する。"
"ja-JP","names","Vibrance","自然な彩度","adobe-exact","https://helpx.adobe.com/jp/photoshop/using/filter-effects-reference.html","Vibrance","自然な彩度","対象地域のAdobe画像編集資料の同じ色調・効果用語を照合。Canon表記とは区別する。"
"ja-JP","names","Contrast","コントラスト","adobe-exact","https://helpx.adobe.com/jp/photoshop/using/filter-effects-reference.html","Contrast","コントラスト","対象地域のAdobe画像編集資料の同じ色調・効果用語を照合。Canon表記とは区別する。"
"ja-JP","names","Shadows","シャドウ","adobe-exact","https://helpx.adobe.com/jp/photoshop/using/filter-effects-reference.html","Shadows","シャドウ","対象地域のAdobe画像編集資料の同じ色調・効果用語を照合。Canon表記とは区別する。"
"ja-JP","names","Midtones","中間調","adobe-exact","https://helpx.adobe.com/jp/photoshop/using/filter-effects-reference.html","Midtones","中間調","対象地域のAdobe画像編集資料の同じ色調・効果用語を照合。Canon表記とは区別する。"
"ja-JP","names","Highlights","ハイライト","adobe-exact","https://helpx.adobe.com/jp/photoshop/using/filter-effects-reference.html","Highlights","ハイライト","対象地域のAdobe画像編集資料の同じ色調・効果用語を照合。Canon表記とは区別する。"
"ja-JP","names","Brightness","明るさ","adobe-exact","https://helpx.adobe.com/jp/photoshop/using/filter-effects-reference.html","Brightness","明るさ","対象地域のAdobe画像編集資料の同じ色調・効果用語を照合。Canon表記とは区別する。"
"ja-JP","names","Temperature","色温度","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0190.html","UG-03_Shooting-1_0190.html / Temperature","色温度","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Red","赤","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Green","緑","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Green / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Blue","青","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Blue / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Depth Fog","大気フォグ","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Depth Fog / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Density","濃さ","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Density / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Start Distance","開始距離","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Start Distance / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Color R","赤","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Color R / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Color G","緑","author-adapted","https://github.com/gummidot/VRCLens-Addons/blob/main/README_JP.md","Color G / 機能説明・設定表","","作者の日本語機能説明に基づくUI用作成表現。作者が同じメニュー訳を採用しているという意味ではない。"
"ja-JP","names","Color B","青","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
